hash,malware_family,source
d5c57973716a0f937716e8431c82410e3deb1e49a880483d3c2d9e94e79f3d0b,AgentTesla,adrian__luca
d6a5d4bec8bc88217fea61b21c8b346d80fcbee3dcf602d717f8197cb44ca840,Dridex,GovCERT_CH
d733b63a83b40308324c30143fdd34f999a600aaf98ba4f6897c185bf448dce1,AgentTesla,adrian__luca
d88037ea620fb8de5a48985676340ccfc8c79e508e52e6ca297edd3972ae9d43,Adware.PushWare,NIXLovesCooper
d88615e084e4f29201a318b0a72ec16e5b3adc97f9e16a313e76a8d659c729a5,AgentTesla,adrian__luca
dad24a693a7bb63710b3734a208e6ee53707300a42d50eaaaf845615b8db8e0b,AgentTesla,adrian__luca
dad6d4a08cdda233a6368ae442acc5277c823a61bd0457054aabbaef20602407,AgentTesla,adrian__luca
ddce7321ecf07394badc64ef8b5fc6000b56c517f7ed6dc1506e4c6c8b4b29a6,Gozi,JAMESWT_WT
de4dde215310215bf64c3d8709323144cc73914129ede679e048e1f26efefc45,AgentTesla,cocaman
deb96eeb98aa7a0549027dadfafd5d3ebbce2006d4ad2272683ea82911026d79,all_7_families,JAMESWT_WT
e19ae4ea423a7210e27c0c58deb9ae5a77d1d9c8a4020051210290c53e69bebf,Dridex,SecuriteInfoCom
e3b071388e78aa31642a7fc4c8967d92838a20acab4ef03441d31293931fcfc8,AgentTesla,adrian__luca
e79037d299e1e7f1c0168861557da875e5506e2b0771920a9f1e6f6557b16b3d,RedLineStealer,JAMESWT_WT
ebb88a5df7df82e25bbd75a2c65341d558adc4b7752ee74fa2a10aa6f4e6e5ce,AgentTesla,adrian__luca
ed493db03ed0a43ee059026fadbfccb26cde4b3d71610073e09adcaa173a6c1f,all_7_families,malware_traffic
ef246ba750950b98b7b42d1251a6b0846457d2ecf656b495e82baf09911ddafd,Emotet,byMattii1234
ef503d5f5a41649720ea8bd5ed226aff3927ecd4c8fd80666ac2fda9d1c2e6cf,Heodo,byMattii1234
f083a511302fea3245665dddc8517861700d5b5720f1560a15ddc9f334b18034,AgentTesla,adrian__luca
f59b112154fa7b5d054be2543b3ece90ba0c1eb828edc2636602368f2213aadc,Gozi,viuleeenz
f68d1f0f0d98e40cd449b394d503d508f4933bbd513bf543579fb787a6a2c878,Dridex,SecuriteInfoCom
f69168160d39ed0a0e39f66e0eba4eefbce5f7a7358d33943784547b4d52c291,AgentTesla,adrian__luca
f7ec2c9703f551dda92a7c043b302c5bab26a4f91683f94cdfe789b54b5a9437,AgentTesla,pr0xylife
fa11e21144149812a1c61c9bf7f8351753aed2348075ced4d6b479e850474969,Emotet,jstrosch
fb011534d2f0a38ac49bc5220cbaaa631b1124a8cbcba8c12007202c2b0ea0f1,AgentTesla,adrian__luca
fc345d151b44639631fc6b88a979462dfba3aa5c281ee3a526c550359268c694,Heodo,jstrosch
fe135d63b84d72468b5e913b2b59ffd1e52911de7438d7c12874ae846639ae4e,AgentTesla,abuse_ch
fe5bcaeebd1b1ec308d5b4315f78912801ca049ec1293e632ad06d71f72e56d3,Loki,Racco42
