hash,family,source,status,detection_ratio,first_seen,last_seen,processes_count,files_written_count,files_deleted_count,registry_keys_set_count,dns_lookups_count,ip_connections_count,http_requests_count,mutexes_count,mitre_techniques_count,mitre_techniques,collected_date
b1183c3ff8b058d34e49369d108f00e9dfcc1e29426bb6e3a4db4eb2c5e7aecd,Heodo,anonymous,success,53/74,1668189346,1684694227,0,0,0,0,0,0,0,0,0,,2025-11-04T04:06:48.576075+00:00
9daf33d2d3b122f8caccbca555164e11046957ed0af5afbb2b243a292d6f2de2,all_7_families,malware_traffic,success,42/76,1631562378,1754996884,0,0,0,0,0,0,0,0,0,,2025-11-04T04:07:21.022774+00:00
fa11e21144149812a1c61c9bf7f8351753aed2348075ced4d6b479e850474969,Emotet,jstrosch,success,65/81,1670292017,1740203388,0,0,0,0,0,0,0,0,0,,2025-11-04T04:07:53.735919+00:00
5d4ad6640ec2846c1dfb439108cfad160beb850a541ec00980c20fc36e0944dc,Emotet,SecuriteInfoCom,success,2/76,1356233608,1759035678,0,0,0,0,0,0,0,0,0,,2025-11-04T04:08:27.168617+00:00
339d09a73181fe54bc53b60e1133fc8a344b4a2174296fc5a80a4c5de47fa2ad,Loki,adrian__luca,success,57/76,1747882963,1756155739,0,0,0,0,0,0,0,0,0,,2025-11-04T04:09:00.400770+00:00
ae2669203764ff3bf46e5b3bd9b5582af63b9544f80114624331e07a3b03b80a,Dridex,zbetcheckin,success,58/76,1640017507,1741675900,0,0,0,0,0,0,0,0,0,,2025-11-04T04:09:33.283454+00:00
f69168160d39ed0a0e39f66e0eba4eefbce5f7a7358d33943784547b4d52c291,AgentTesla,adrian__luca,success,55/76,1758863592,1761458623,0,0,0,0,0,0,0,0,0,,2025-11-04T04:10:05.775362+00:00
405c61f58771683f3c8091373a7ed4012885a09407300913aec1d8121b624f78,TrickBot,SecuriteInfoCom,success,37/76,1630714586,1754705212,0,0,0,0,0,0,0,0,0,,2025-11-04T04:10:38.605293+00:00
98b9bd9da1ad5c48dc82f3c7152494217823514b5fc6d5b8e53b9b5a8dec5f7a,Heodo,UkyKnight,success,51/76,1679347254,1755194508,0,0,0,0,0,0,0,0,0,,2025-11-04T04:11:11.064892+00:00
2eabb43086cb08d8bc852aeef8b71f6805ee050f51de63c84a9a03f92de3635a,all_7_families,ankit_anubhav,success,22/75,1637647407,1750854082,0,0,0,0,0,0,0,0,0,,2025-11-04T04:11:43.817543+00:00
ef246ba750950b98b7b42d1251a6b0846457d2ecf656b495e82baf09911ddafd,Emotet,byMattii1234,success,57/76,1598225993,1759295861,0,0,0,0,0,0,0,0,0,,2025-11-04T04:12:16.378524+00:00
bff22c83a53c9520a898473d80cc9125e2c222846c72e4b352409b7b0ef50eba,Gozi,JAMESWT_WT,success,31/76,1696908093,1753365812,0,0,0,0,0,0,0,0,0,,2025-11-04T04:12:48.946003+00:00
392a7193b12c6795fb239cff20c5310e1b3b4a3a24538b17d94870a97441cfe8,Loki,threatcat_ch,success,56/76,1738744670,1749293516,0,0,0,0,0,0,0,0,0,,2025-11-04T04:13:21.552230+00:00
6712500bb0de148a99ec940160d3d61850e2ce3803adca8f39e9fa8621b8ea6f,Dridex,OSimao,success,61/77,1585093971,1742735558,0,0,0,0,0,0,0,0,0,,2025-11-04T04:13:54.681870+00:00
0ff83c37f9a4581457831ecbe06fa4907cc6ab864e9e0597f55cd1fc9f2a1fd3,AgentTesla,cocaman,success,43/76,1756278377,1759045422,0,0,0,0,0,0,0,0,0,,2025-11-04T04:14:27.191668+00:00
